Project ,Address,Latitude,Longitude,,,,,,,
Parker Apartments,2819 3rd Ave. W. North Queen Anne,47.64509191,-122.3514269,,,,,,,
Haines Apartments,1415 E. Olive St. Capitol Hill,47.616444,-122.31396,,,,,,,
Interbay Supportive Housing,2292 15th Ave W. Interbay,47.6392644,-122.3761142,,,,,,,
Plaza Roberto Maestas,2524 16th Ave S. Beacon Hill,47.58081665,-122.3120132,,,,,,,
Western Ave Senior Housing,1901 Western Ave. Downtown,47.60989868,-122.3432034,,,,,,,
The Caroline W. Apartments,429 Boylston Ave E,47.62290657,-122.3233793,,,,,,,
Valor Apartments,12513 - 33rd Avenue NE,47.7193718,-122.2928187,,,,,,,
Compass on Dexter,756 John Street,47.62005551,-122.3419714,,,,,,,
Hirabayashi Place,424 S. Main Street,47.60012369,-122.3287836,,,,,,,
Ballard Senior Housing,2014 NW 57th Street,47.6702671,-122.3823166,,,,,,,
Third and Virginia,2015 Third Avenue,47.61243122,-122.3411302,,,,,,,
Leschi House,1011 S. Weller Street,47.59741753,-122.3195188,,,,,,,
Yesler Terrace Phase I,1105 E. Fir Street,47.60259692,-122.3180432,,,,,,,
12th Avenue Arts,1606 12th Avenue,47.63378216,-122.3724219,,,,,,,
4251 Aurora Supportive Housing,4251 Aurora Ave N,47.65874922,-122.3473587,,,,,,,
Delridge Supportive Housing,5434 Delridge Way SW,47.55265557,-122.3625728,,,,,,,
Sand Point Phase 2b,7400 Sand Pt Way NE,47.68478598,-122.2643889,,,,,,,
Impact Family Village,7700 Rainier Ave S,47.53356221,-122.2698981,,,,,,,
University District Apartments,4738 15th Ave NE,47.66420514,-122.3116277,,,,,,,
Liberty Bank Building,2320 E Union St,47.61323264,-122.3017908,,,,,,,
Estelle Supportive Housing,3501 Rainier Ave S,47.57032309,-122.2920326,,,,,,,
Building 9,7101 62nd Ave NE,47.683441,-122.291533,,,,,,,
University Commons,5019 Roosevelt Way NE,47.66563602,-122.3177288,,,,,,,
Mercy Othello Plaza,6940 MLK Jr Way S,47.54034954,-122.2827063,,,,,,,
7th and Cherry Apartments,710 Cherry Street,47.60546373,-122.3275598,,,,,,,
Raven Terrace,820 Yesler Way,47.60179153,-122.3222682,,,,,,,
12th & East Jefferson Workforce Housing,500 12th Avenue,47.60620723,-122.3166921,,,,,,,
Aurora Supportive Housing,10507 Aurora Avenue N.,47.70510921,-122.3448748,,,,,,,
Columbia City Station Apartments,4484 MLK Jr. Way S,47.56309045,-122.2947102,,,,,,,
Sunset House,2519 1st Avenue,47.61471992,-122.3489685,,,,,,,
Pontius Apartments,219 Pontius Avenue N.,47.62025397,-122.3320656,,,,,,,
Mt Baker Lofts,2915 Rainier Ave. S.,47.5774219,-122.2975592,,,,,,,
Jackson Street Senior Housing,2010 South Jackson,47.599344,-122.3061815,,,,,,,
